name,slug,series_id
Adelaide,adelaide,1
Alice,alice,1
Asami,asami,1
Barbara,barbara,1
Charlie,charlie,1
Laurie,laurie,1
Melanie,melanie,1
Nancy,nancy,1
Paula,paula,1
Reiko,reiko,1
Selena,selena,1
Sheila,sheila,1
Ellen,ellen,2
Jenette,jenette,2
Kate,kate,2
Uki,uki,2
Ginny,ginny,2
Ava,ava,2
Patsy,patsy,2
Veronica,veronica,2
Heather,heather,2
Red,red,2
Gretel,gretel,2
